artist,track,url
"d4vd","Poetic Vulgarity","https://www.youtube.com/embed/voX178mxthI?autoplay=1&start=51&end=81&controls=0"
"Conan Gray","Astronomy","https://www.youtube.com/embed/B-W6JrZGLdE?autoplay=1&start=35&end=65&controls=0"
"XXXTENTACION","Fuck Love","https://www.youtube.com/embed/eBQEm1bqHPA?autoplay=1&start=47&end=77&controls=0"
"OBOY","Cabeza","https://www.youtube.com/embed/lEfkziQSmZI?autoplay=1&start=34&end=64&controls=0"
"Chase Atlantic","Consume (feat. Goon Des Garcons)","https://www.youtube.com/embed/oCdXuomafSU?autoplay=1&start=40&end=70&controls=0"
"Randee Campers","Legends Never Die","https://www.youtube.com/embed/bogcMYeF4ZM?autoplay=1&start=35&end=65&controls=0"
"Kimberly August","Wallflower","https://www.youtube.com/embed/IRQl8_iHfGc?autoplay=1&start=48&end=78&controls=0"
"Tank","When We","https://www.youtube.com/embed/h8dbKktSMiI?autoplay=1&start=31&end=61&controls=0"
"Satine","Un quart d'heure","https://www.youtube.com/embed/jntXoskAPL8?autoplay=1&start=36&end=66&controls=0"
"ptasinski","life force - slowed & reverb","https://www.youtube.com/embed/itrXvuMArYs?autoplay=1&start=50&end=80&controls=0"
"James Baker","Fuis-moi si tu veux","https://www.youtube.com/embed/olnGQqkVd7Q?autoplay=1&start=51&end=81&controls=0"
"Randee Campers","Sweet Dreams","https://www.youtube.com/embed/7jS9ObvOrZQ?autoplay=1&start=42&end=72&controls=0"
"Conan Gray","Bourgeoisieses","https://www.youtube.com/embed/8ALpoMsaoTg?autoplay=1&start=38&end=68&controls=0"
"Conan Gray","Winner","https://www.youtube.com/embed/DDqOI71Aq_M?autoplay=1&start=34&end=64&controls=0"
"Chase Atlantic","STRANGER THINGS","https://www.youtube.com/embed/Wpn5jXL13x0?autoplay=1&start=43&end=73&controls=0"
"Don Toliver","Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)","https://www.youtube.com/embed/LNIkS0KyJwc?autoplay=1&start=51&end=81&controls=0"
"Saymooon","Traktor","https://www.youtube.com/embed/HHXuyju056U?autoplay=1&start=36&end=66&controls=0"
"Lil Peep","Falling Down - Bonus Track","https://www.youtube.com/embed/-jRKsiAOAA8?autoplay=1&start=45&end=75&controls=0"
"DJ EXE","PALMTREE PANIC FUNK - SUPER SLOWED","https://www.youtube.com/embed/F-N2m5dLGyQ?autoplay=1&start=48&end=78&controls=0"
"Cryogenic","The Unpredictable","https://www.youtube.com/embed/NRzUMxQ0oeU?autoplay=1&start=49&end=79&controls=0"
"The Weeknd","Wake Me Up (feat. Justice)","https://www.youtube.com/embed/QNGCMgvcbpA?autoplay=1&start=55&end=85&controls=0"
"THÉA","Enfant doué.e","https://www.youtube.com/embed/T17OozgVt5s?autoplay=1&start=57&end=87&controls=0"
"The Neighbourhood","Reflections","https://www.youtube.com/embed/x47TgeRJtH0?autoplay=1&start=47&end=77&controls=0"
"Stwo","Neither Do I","https://www.youtube.com/embed/p15GKaYgIys?autoplay=1&start=47&end=77&controls=0"
"Tory Lanez","In For It","https://www.youtube.com/embed/Amp86v4Nd8Q?autoplay=1&start=59&end=89&controls=0"
"Yuuki Ozaki","Trigger","https://www.youtube.com/embed/oT33MXomUPs?autoplay=1&start=53&end=83&controls=0"
"Luther","ROUGE GORON","https://www.youtube.com/embed/CGjwqbaJ3xw?autoplay=1&start=47&end=77&controls=0"
"Joanna","Est-ce que tu veux rider? (La naissance de l'amour)","https://www.youtube.com/embed/UA3jTK2yvhw?autoplay=1&start=41&end=71&controls=0"
"The Weeknd","Reflections Laughing (feat. Travis Scott, Florence + The Machine)","https://www.youtube.com/embed/e_zUE17NodI?autoplay=1&start=58&end=88&controls=0"
"Halsey","Not Afraid Anymore","https://www.youtube.com/embed/lqP2_4TCufY?autoplay=1&start=43&end=73&controls=0"
"Yosuf","HGH","https://www.youtube.com/embed/NjFIW8kliPA?autoplay=1&start=47&end=77&controls=0"
"HARDSTYLE CVNT","ONLY GIRL","https://www.youtube.com/embed/fhcqvSPyP9E?autoplay=1&start=46&end=76&controls=0"
"The Weeknd","Baptized In Fear","https://www.youtube.com/embed/WH7L9e07uSQ?autoplay=1&start=37&end=67&controls=0"
"Beyoncé","Crazy In Love (feat. JAY-Z)","https://www.youtube.com/embed/wDxtUcrjlBM?autoplay=1&start=52&end=82&controls=0"
"d4vd","My House Is Not A Home","https://www.youtube.com/embed/B4UdAJxAoiw?autoplay=1&start=52&end=82&controls=0"
"Nicki Minaj","Starships","https://www.youtube.com/embed/SeIJmciN8mo?autoplay=1&start=32&end=62&controls=0"
"Conan Gray","Killing Me","https://www.youtube.com/embed/cQzJWnYVNoQ?autoplay=1&start=39&end=69&controls=0"
"Sabrina Claudio","Take One to the Head","https://www.youtube.com/embed/6JJNExm8m5o?autoplay=1&start=45&end=75&controls=0"
"d4vd","Don't Forget About Me","https://www.youtube.com/embed/a360fN-5PDk?autoplay=1&start=31&end=61&controls=0"
